query,title,year,venue,authors,doi,url,type,source,score,tags
slip state estimation robot manipulation,6 DOF Pose Estimation for Efficient Robot Manipulation,2020,2020 IEEE Conference on Industrial Cyberphysical Systems (ICPS),Hsien-I Lin; Subhajit Nanda,10.1109/icps48405.2020.9274783,https://doi.org/10.1109/icps48405.2020.9274783,proceedings-article,Crossref,2,manipulation;dynamics
slip state estimation robot manipulation,Human grasp position estimation for human–robot cooperative object manipulation,2020,Robotics and Autonomous Systems,Ramin Jaberzadeh Ansari; Giuseppe Giordano; Jonas Sjöberg; Yiannis Karayiannidis,10.1016/j.robot.2020.103600,https://doi.org/10.1016/j.robot.2020.103600,journal-article,Crossref,2,manipulation
slip state estimation robot manipulation,Self-supervised 6D Object Pose Estimation for Robot Manipulation,2020,2020 IEEE International Conference on Robotics and Automation (ICRA),Xinke Deng; Yu Xiang; Arsalan Mousavian; Clemens Eppner; Timothy Bretl; Dieter Fox,10.1109/icra40945.2020.9196714,https://doi.org/10.1109/icra40945.2020.9196714,proceedings-article,Crossref,2,manipulation;dynamics
contact state estimation dexterous manipulation,Dexterous Manipulation,2020,Encyclopedia of Robotics,Domenico Prattichizzo; Maria Pozzi; Monica Malvezzi,10.1007/978-3-642-41610-1_180-1,https://doi.org/10.1007/978-3-642-41610-1_180-1,book-chapter,Crossref,2,manipulation
contact rich manipulation state estimation,Controlling Contact-Rich Manipulation Under Partial Observability,2020,Robotics: Science and Systems XVI,Florian Wirnshofer; Philipp Sebastian Schmitt; Georg von Wichert; Wolfram Burgard,10.15607/rss.2020.xvi.023,https://doi.org/10.15607/rss.2020.xvi.023,proceedings-article,Crossref,2,contact;manipulation
contact rich manipulation state estimation,Data-Efficient Model Learning and Prediction for Contact-Rich Manipulation Tasks,2020,IEEE Robotics and Automation Letters,Shahbaz Abdul Khader; Hang Yin; Pietro Falco; Danica Kragic,10.1109/lra.2020.2996067,https://doi.org/10.1109/lra.2020.2996067,journal-article,Crossref,2,contact;manipulation
robotic hand slip estimation tactile,"Deep Vibro-Tactile Perception for Simultaneous Texture Identification, Slip Detection, and Speed Estimation",2020,Sensors,Yerkebulan Massalim; Zhanat Kappassov; Huseyin Atakan Varol,10.3390/s20154121,https://doi.org/10.3390/s20154121,journal-article,Crossref,2,slip;tactile
manipulation contact dynamics estimation,Non-contact droplet manipulation and its dynamics based on acoustic levitation,2020,"SCIENTIA SINICA Physica, Mechanica &amp; Astronomica",WenLi DI; ZeHui ZHANG; KangQi LIU; DuYang ZANG; Zhen CHEN,10.1360/sspma-2020-0134,https://doi.org/10.1360/sspma-2020-0134,journal-article,Crossref,2,contact;manipulation
manipulation contact dynamics estimation,Effects of contact angle hysteresis on drop manipulation using surface acoustic waves,2020,Theoretical and Computational Fluid Dynamics,Mahdi Sheikholeslam Noori; Mohammad Taeibi Rahni; Arash Shams Taleghani,10.1007/s00162-020-00516-0,https://doi.org/10.1007/s00162-020-00516-0,journal-article,Crossref,2,contact;manipulation
robot grasp tactile sensing,Robot Tactile Sensing: Skinlike and Intrinsic Approach,2020,Intelligent Robotic Systems,Antonio Bicchi; Giorgio Buttazzo,10.1201/9781003066279-18,https://doi.org/10.1201/9781003066279-18,book-chapter,Crossref,2,tactile
robot grasp tactile sensing,Self-Attention Based Visual-Tactile Fusion Learning for Predicting Grasp Outcomes,2020,IEEE Robotics and Automation Letters,Shaowei Cui; Rui Wang; Junhang Wei; Jingyi Hu; Shuo Wang,10.1109/lra.2020.3010720,https://doi.org/10.1109/lra.2020.3010720,journal-article,Crossref,2,tactile;manipulation
robot tactile feedback manipulation,Communicating Robot Goals via Haptic Feedback in Manipulation Tasks,2020,Companion of the 2020 ACM/IEEE International Conference on Human-Robot Interaction,Rey Pocius; Naghmeh Zamani; Heather Culbertson; Stefanos Nikolaidis,10.1145/3371382.3377444,https://doi.org/10.1145/3371382.3377444,proceedings-article,Crossref,2,tactile;manipulation
robot tactile feedback manipulation,End-to-End Tactile Feedback Loop: From Soft Sensor Skin Over Deep GRU-Autoencoders to Tactile Stimulation,2020,IEEE Robotics and Automation Letters,Andreas Geier; Rawleigh Tucker; Sophon Somlor; Hideyuki Sawada; Shigeki Sugano,10.1109/lra.2020.3012951,https://doi.org/10.1109/lra.2020.3012951,journal-article,Crossref,2,tactile
force control contact estimation robot,Contact Force Estimation Method of Legged-Robot and Its Application in Impedance Control,2020,IEEE Access,Zhang Cong; An Honglei; Chengye Wu; Lin Lang; Qing Wei; Ma Hongxu,10.1109/access.2020.3021080,https://doi.org/10.1109/access.2020.3021080,journal-article,Crossref,2,contact
force control contact estimation robot,Contact Force Control Based on Force Estimation in Bimorph-type Piezoelectric Actuators,2020,2020 IEEE 16th International Workshop on Advanced Motion Control (AMC),Kenta Seki; Yuya Sakuragi; Makoto Iwasaki,10.1109/amc44022.2020.9244353,https://doi.org/10.1109/amc44022.2020.9244353,proceedings-article,Crossref,2,contact
force control contact estimation robot,Contact Control System Applying Torque Control and Contact Force Estimation for Life-sized Humanoid Robots’ Dynamic Multi-contact Motion Involving Impact Force,2020,The Proceedings of JSME annual Conference on Robotics and Mechatronics (Robomec),Kazuki FUKAZAWA; Naoki HIRAOKA; Kunio KOJIMA; Shintaro NODA; Masahiro BANDO; Kei OKADA; Masayuki Inaba,10.1299/jsmermd.2020.2a2-g09,https://doi.org/10.1299/jsmermd.2020.2a2-g09,journal-article,Crossref,2,contact
force control contact estimation robot,Sliding Mode Contact Force Control of n-Dof Robotics by Force Estimation,2020,Majlesi Journal of Electrical Engineering,Majid Namnabat; Amir Hossein Zaeri; Mohammad Vahedi,10.29252/mjee.14.4.1,https://doi.org/10.29252/mjee.14.4.1,journal-article,Crossref,2,contact
dexterous grasp pose estimation,Pose estimation and adaptable grasp configuration with point cloud registration and geometry understanding for fruit grasp planning,2020,Computers and Electronics in Agriculture,Ning Guo; Baohua Zhang; Jun Zhou; Ketian Zhan; Shuang Lai,10.1016/j.compag.2020.105818,https://doi.org/10.1016/j.compag.2020.105818,journal-article,Crossref,2,manipulation;dynamics
in-hand manipulation object pose estimation,Hand Pose Estimation for Hand-Object Interaction Cases using Augmented Autoencoder,2020,2020 IEEE International Conference on Robotics and Automation (ICRA),Shile Li; Haojie Wang; Dongheui Lee,10.1109/icra40945.2020.9197299,https://doi.org/10.1109/icra40945.2020.9197299,proceedings-article,Crossref,2,manipulation;dynamics
in-hand manipulation object pose estimation,HOPE-Net: A Graph-Based Model for Hand-Object Pose Estimation,2020,2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),Bardia Doosti; Shujon Naha; Majid Mirbagheri; David J. Crandall,10.1109/cvpr42600.2020.00664,https://doi.org/10.1109/cvpr42600.2020.00664,proceedings-article,Crossref,2,manipulation;dynamics
in-hand manipulation object pose estimation,HOT-Net: Non-Autoregressive Transformer for 3D Hand-Object Pose Estimation,2020,Proceedings of the 28th ACM International Conference on Multimedia,Lin Huang; Jianchao Tan; Jingjing Meng; Ji Liu; Junsong Yuan,10.1145/3394171.3413775,https://doi.org/10.1145/3394171.3413775,proceedings-article,Crossref,2,manipulation;dynamics
friction estimation tactile robotics,Tactile Display of Reproducing Friction Vibration induced by Contracture Palpation,2020,The Proceedings of JSME annual Conference on Robotics and Mechatronics (Robomec),Kazuhieo NIWA; Yoshihiro TANAKA; Takahiro SUZUKI; Takafumi SAITO,10.1299/jsmermd.2020.2p2-e01,https://doi.org/10.1299/jsmermd.2020.2p2-e01,journal-article,Crossref,2,tactile;dynamics
friction estimation tactile robotics,Roughness presentation via surface tactile texture display using vibrotactile and electrostatic friction stimuli,2020,The Proceedings of JSME annual Conference on Robotics and Mechatronics (Robomec),Kazuya OTAKE; Hikaru HASEGAWA; Shogo OKAMOTO; Yoji YAMADA,10.1299/jsmermd.2020.2a1-p03,https://doi.org/10.1299/jsmermd.2020.2a1-p03,journal-article,Crossref,2,tactile;dynamics
haptic sensing manipulation robot,Bounded haptic teleoperation of a quadruped robot’s foot posture for sensing and manipulation,2020,2020 IEEE International Conference on Robotics and Automation (ICRA),Guiyang Xin; Joshua Smith; David Rytz; Wouter Wolfslag; Hsiu-Chin Lin; Michael Mistry,10.1109/icra40945.2020.9197501,https://doi.org/10.1109/icra40945.2020.9197501,proceedings-article,Crossref,2,tactile;manipulation
proprioceptive tactile sensing robot hand,Tactile information counteracts the attenuation of rubber hand illusion attributable to increased visuo-proprioceptive divergence,2020,PLOS ONE,Piotr Litwin; Beata Zybura; Paweł Motyka,10.1371/journal.pone.0244594,https://doi.org/10.1371/journal.pone.0244594,journal-article,Crossref,2,tactile;manipulation
contact-rich manipulation robotics,A Global Quasi-Dynamic Model for Contact-Trajectory Optimization in Manipulation,2020,Robotics: Science and Systems XVI,Bernardo Aceituno-Cabezas; Alberto Rodriguez,10.15607/rss.2020.xvi.047,https://doi.org/10.15607/rss.2020.xvi.047,proceedings-article,Crossref,2,contact;manipulation
tactile object recognition manipulation,Tactile Sensory Control of Object Manipulation in Humans,2020,The Senses: A Comprehensive Reference,R.S. Johansson; J.R. Flanagan,10.1016/b978-0-12-805408-6.00346-8,https://doi.org/10.1016/b978-0-12-805408-6.00346-8,book-chapter,Crossref,2,tactile;manipulation
tactile object recognition manipulation,"Tactile object recognition performance on graspable objects, but not texture-like objects, relates to visual object recognition ability",2020,Journal of Vision,Jason Chow; Thomas Palmeri; Isabel Gauthier,10.1167/jov.20.11.188,https://doi.org/10.1167/jov.20.11.188,journal-article,Crossref,2,tactile;manipulation
contact mechanics robotics manipulation,Configuration Lattices for Planar Contact Manipulation Under Uncertainty,2020,Springer Proceedings in Advanced Robotics,Michael Koval; David Hsu; Nancy Pollard; Siddhartha S. Srinivasa,10.1007/978-3-030-43089-4_49,https://doi.org/10.1007/978-3-030-43089-4_49,book-chapter,Crossref,2,contact;manipulation
contact mechanics robotics manipulation,Planning and Resilient Execution of Policies For Manipulation in Contact with Actuation Uncertainty,2020,Springer Proceedings in Advanced Robotics,Calder Phillips-Grafflin; Dmitry Berenson,10.1007/978-3-030-43089-4_48,https://doi.org/10.1007/978-3-030-43089-4_48,book-chapter,Crossref,2,contact;manipulation
force estimation robot hand,Learning-Based Fingertip Force Estimation for Soft Wearable Hand Robot With Tendon-Sheath Mechanism,2020,IEEE Robotics and Automation Letters,Brian Byunghyun Kang; Daekyum Kim; Hyungmin Choi; Useok Jeong; Kyu Bum Kim; Sungho Jo; Kyu-Jin Cho,10.1109/lra.2020.2966391,https://doi.org/10.1109/lra.2020.2966391,journal-article,Crossref,2,contact;manipulation
force estimation robot hand,Six-Axis Force/Torque Fingertip Sensor for an Anthropomorphic Robot Hand,2020,IEEE Robotics and Automation Letters,Uikyum Kim; Heeyeon Jeong; Hyunmin Do; Jongwoo Park; Chanhun Park,10.1109/lra.2020.3009072,https://doi.org/10.1109/lra.2020.3009072,journal-article,Crossref,2,contact;manipulation
tactile servoing grasping,Visual-Tactile Fusion for Robotic Stable Grasping,2020,Industrial Robotics - New Paradigms,Bin Fang; Chao Yang; Fuchun Sun; Huaping Liu,10.5772/intechopen.91455,https://doi.org/10.5772/intechopen.91455,book-chapter,Crossref,2,tactile;manipulation
tactile servoing grasping,"Grasping Unknown Objects by Coupling Deep Reinforcement Learning, Generative Adversarial Networks, and Visual Servoing",2020,2020 IEEE International Conference on Robotics and Automation (ICRA),Ole-Magnus Pedersen; Ekrem Misimi; Francois Chaumette,10.1109/icra40945.2020.9197196,https://doi.org/10.1109/icra40945.2020.9197196,proceedings-article,Crossref,2,contact;manipulation
tactile servoing grasping,Feasibility Study of Force Measurement for Multi-digit Unconstrained Grasping via Fingernail Imaging and Visual Servoing,2020,ASME Letters in Dynamic Systems and Control,Navid Fallahinia; Stephen A. Mascaro,10.1115/1.4046777,https://doi.org/10.1115/1.4046777,journal-article,Crossref,2,contact;manipulation
micro slip tactile manipulation,"Concept Validation for a Novel Stick-and-Slip, Light-Powered, Mobile Micro-Crawler",2019,"2019 International Conference on Manipulation, Automation and Robotics at Small Scales (MARSS)",Jordan F. Klotz; Danming Wei; Zhong Yang; Ruoshi Zhang; Andriy Sherehiy; Mohammad N. Saadatzi; Dan O. Popa,10.1109/marss.2019.8860938,https://doi.org/10.1109/marss.2019.8860938,proceedings-article,Crossref,2,slip;manipulation
slip state estimation robot manipulation,Trajectory and slip inference on a cleaning mobile robot using simultaneous parameter and state estimation method,2019,Journal of Advanced Simulation in Science and Engineering,Takuma Nemoto; Rajesh Elara Mohan,10.15748/jasse.6.157,https://doi.org/10.15748/jasse.6.157,journal-article,Crossref,2,slip;state
latent state manipulation tactile sensing,Recent progress in tactile sensing and sensors for robotic manipulation: can we turn tactile sensing into vision?,2019,Advanced Robotics,Akihiko Yamaguchi; Christopher G. Atkeson,10.1080/01691864.2019.1632222,https://doi.org/10.1080/01691864.2019.1632222,journal-article,Crossref,2,tactile;manipulation
latent state manipulation tactile sensing,Pouring from Deformable Containers Using Dual-Arm Manipulation and Tactile Sensing,2019,2019 Third IEEE International Conference on Robotic Computing (IRC),Yuto Tsuchiya; Takuya Kiyokawa; Gustavo Alfonso Garcia Ricardez; Jun Takamatsu; Tsukasa Ogasawara,10.1109/irc.2019.00064,https://doi.org/10.1109/irc.2019.00064,proceedings-article,Crossref,2,tactile;manipulation
robotic hand slip estimation tactile,Vision-Based Tactile Perception for Soft Robotic Hand,2019,2019 IEEE International Conference on Robotics and Biomimetics (ROBIO),Shixin Zhang; Jianhua Shan; Bin Fang; Fuchun Sun; Huaping Liu,10.1109/robio49542.2019.8961730,https://doi.org/10.1109/robio49542.2019.8961730,proceedings-article,Crossref,2,tactile;manipulation
robotic hand slip estimation tactile,Development of an anthropomorphic robotic hand with tactile perception,2019,"2019 6th International Conference on Control, Decision and Information Technologies (CoDIT)",Artur Vitorio Andrade Santos; Alberto Jose Alvares,10.1109/codit.2019.8820390,https://doi.org/10.1109/codit.2019.8820390,proceedings-article,Crossref,2,tactile;manipulation
robot tactile feedback manipulation,A Robot That Draws and Shades with Tactile Force Feedback Sensed Through a Pencil,2019,Electronic Workshops in Computing,Paul O’Dowd,10.14236/ewic/eva2019.19,https://doi.org/10.14236/ewic/eva2019.19,proceedings-article,Crossref,2,tactile;contact
robot tactile feedback manipulation,Soft-bubble: A highly compliant dense geometry tactile sensor for robot manipulation,2019,2019 2nd IEEE International Conference on Soft Robotics (RoboSoft),Alex Alspach; Kunimatsu Hashimoto; Naveen Kuppuswamy; Russ Tedrake,10.1109/robosoft.2019.8722713,https://doi.org/10.1109/robosoft.2019.8722713,proceedings-article,Crossref,2,tactile;manipulation
robot tactile feedback manipulation,Haptic and Tactile Feedback in a Palpation System for Laparoscopic Surgical Robot,2019,"The Proceedings of Mechanical Engineering Congress, Japan",Chiharu ISHII; Tetsuya OYAMA,10.1299/jsmemecj.2019.j16111,https://doi.org/10.1299/jsmemecj.2019.j16111,journal-article,Crossref,2,tactile
robot tactile feedback manipulation,AeroVr: Virtual Reality-based Teleoperation with Tactile Feedback for Aerial Manipulation,2019,2019 19th International Conference on Advanced Robotics (ICAR),Grigoriy A. Yashin; Daria Trinitatova; Ruslan T. Agishev; Roman Ibrahimov; Dzmitry Tsetserukou,10.1109/icar46387.2019.8981574,https://doi.org/10.1109/icar46387.2019.8981574,proceedings-article,Crossref,2,tactile;manipulation
force control contact estimation robot,Hybrid Force/Position Control of a Very Flexible Parallel Robot Manipulator in Contact with an Environment,2019,"Proceedings of the 16th International Conference on Informatics in Control, Automation and Robotics",Fatemeh Ansarieshlaghi; Peter Eberhard,10.5220/0007833400590067,https://doi.org/10.5220/0007833400590067,proceedings-article,Crossref,2,contact
force control contact estimation robot,Real-Time External Contact Force Estimation and Localization for Collaborative Robot,2019,2019 IEEE International Conference on Mechatronics (ICM),Dmitry Popov; Alexandr Klimchik,10.1109/icmech.2019.8722893,https://doi.org/10.1109/icmech.2019.8722893,proceedings-article,Crossref,2,contact
force control contact estimation robot,A Force Control Joint for Robot–Environment Contact Application,2019,Journal of Mechanisms and Robotics,Qilong Wang; Wei Wang; Xilun Ding; Chao Yun,10.1115/1.4043043,https://doi.org/10.1115/1.4043043,journal-article,Crossref,2,contact
force control contact estimation robot,Estimation of Ground Reaction Force for Quadruped Robot Control Using a High-Gain Observer,2019,International Review of Automatic Control (IREACO),Ryosuke Horio; Naoki Uchiyama,10.15866/ireaco.v12i1.16514,https://doi.org/10.15866/ireaco.v12i1.16514,journal-article,Crossref,2,contact;state
dexterous grasp pose estimation,Real-time Grasp Pose Estimation for Novel Objects in Densely Cluttered Environment,2019,2019 28th IEEE International Conference on Robot and Human Interactive Communication (RO-MAN),Mohit Vohra; Ravi Prakash; Laxmidhar Behera,10.1109/ro-man46459.2019.8956438,https://doi.org/10.1109/ro-man46459.2019.8956438,proceedings-article,Crossref,2,manipulation;dynamics
dexterous grasp pose estimation,Robotic Grasp Pose Estimation Oriented Deep Learning Algorithm Based on Residual Network,2019,Proceedings of the 2019 3rd International Symposium on Computer Science and Intelligent Control,Fan Bai; Renjie Yao; Maoning Chen; Zhexin Cui,10.1145/3386164.3389081,https://doi.org/10.1145/3386164.3389081,proceedings-article,Crossref,2,manipulation;dynamics
friction estimation tactile robotics,Dense Tactile Force Estimation using GelSlim and inverse FEM,2019,2019 International Conference on Robotics and Automation (ICRA),Daolin Ma; Elliott Donlon; Siyuan Dong; Alberto Rodriguez,10.1109/icra.2019.8794113,https://doi.org/10.1109/icra.2019.8794113,proceedings-article,Crossref,2,tactile;contact
friction estimation tactile robotics,"Dynamic friction model with thermal and load dependency: modeling, compensation, and external force estimation",2019,2019 International Conference on Robotics and Automation (ICRA),Maged Iskandar; Sebastian Wolf,10.1109/icra.2019.8794406,https://doi.org/10.1109/icra.2019.8794406,proceedings-article,Crossref,2,contact;dynamics
haptic sensing manipulation robot,Human-Robot Interaction Through Fingertip Haptic Devices for Cooperative Manipulation Tasks,2019,2019 28th IEEE International Conference on Robot and Human Interactive Communication (RO-MAN),Selma Musić; Domenico Prattichizzo; Sandra Hirche,10.1109/ro-man46459.2019.8956350,https://doi.org/10.1109/ro-man46459.2019.8956350,proceedings-article,Crossref,2,tactile;manipulation
haptic sensing manipulation robot,The Combination of Soft Microfingers and Wearable Interface Device for Haptic Teleoperation Robot System,2019,"2019 International Conference on Manipulation, Automation and Robotics at Small Scales (MARSS)",S. Konishi; S. Otake; H. Kosawa; A. Hirata; F. Mori,10.1109/marss.2019.8860945,https://doi.org/10.1109/marss.2019.8860945,proceedings-article,Crossref,2,tactile;manipulation
haptic sensing manipulation robot,Combining Human Visual and Haptic Perception in Human-Robot Interaction for Collaborative Manipulation,2019,The Proceedings of JSME annual Conference on Robotics and Mechatronics (Robomec),Shouren HUANG; Chaoyue HU; Yuji YAMAKAWA; Masatoshi ISHIKAWA,10.1299/jsmermd.2019.2p1-l03,https://doi.org/10.1299/jsmermd.2019.2p1-l03,journal-article,Crossref,2,tactile;manipulation
robot hand object pose force sensing,Variational Object-Aware 3-D Hand Pose From a Single RGB Image,2019,IEEE Robotics and Automation Letters,Yafei Gao; Yida Wang; Pietro Falco; Nassir Navab; Federico Tombari,10.1109/lra.2019.2930425,https://doi.org/10.1109/lra.2019.2930425,journal-article,Crossref,2,manipulation;dynamics
robot hand object pose force sensing,Real-time Hand Pose Tracking and Classification for Natural Human-Robot Control,2019,"Proceedings of the 14th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications",Bruno Lima; Givanildo N. Júnior; Lucas Amaral; Thales Vieira; Bruno Ferreira; Tiago Vieira,10.5220/0007384608320839,https://doi.org/10.5220/0007384608320839,proceedings-article,Crossref,2,manipulation;dynamics
robot hand object pose force sensing,Real-time Hand Pose Tracking and Classification for Natural Human-Robot Control,2019,"Proceedings of the 14th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications",Bruno Lima; Givanildo N. Júnior; Lucas Amaral; Thales Vieira; Bruno Ferreira; Tiago Vieira,10.5220/0007384600002108,https://doi.org/10.5220/0007384600002108,proceedings-article,Crossref,2,manipulation;dynamics
contact mechanics robotics manipulation,An Omnidirectional Aerial Manipulation Platform for Contact-Based Inspection,2019,Robotics: Science and Systems XV,Karen Bodie; Maximilian Brunner; Michael Pantic; Stefan Walser; Patrick Pfndler; Ueli Angst; Roland Siegwart; Juan Nieto,10.15607/rss.2019.xv.019,https://doi.org/10.15607/rss.2019.xv.019,proceedings-article,Crossref,2,contact;manipulation
force estimation robot hand,Hand-Eye-Force Coordination of Acupuncture Robot,2019,IEEE Access,Jianbo Su; Yicheng Zhu; Mingde Zhu,10.1109/access.2019.2923632,https://doi.org/10.1109/access.2019.2923632,journal-article,Crossref,2,contact;manipulation
force estimation robot hand,Nonlinear Disturbance Observer for External Force Estimation in a Cooperative Robot,2019,2019 19th International Conference on Advanced Robotics (ICAR),Shirin Yousefizadeh; Thomas Bak,10.1109/icar46387.2019.8981583,https://doi.org/10.1109/icar46387.2019.8981583,proceedings-article,Crossref,2,contact;state
micro slip tactile manipulation,Sensitive Manipulation: Manipulation Through Tactile Feedback,2018,International Journal of Humanoid Robotics,Eduardo Torres-Jara; Lorenzo Natale,10.1142/s0219843618500123,https://doi.org/10.1142/s0219843618500123,journal-article,Crossref,2,tactile;manipulation
slip state estimation robot manipulation,Robot manipulation using image-based visual servoing control with robust state estimation,2018,2018 Chinese Control And Decision Conference (CCDC),Zhong Xungao; Xu Min; Guan Jiansheng; Zhong Xunyu; Peng Xiafu,10.1109/ccdc.2018.8407174,https://doi.org/10.1109/ccdc.2018.8407174,proceedings-article,Crossref,2,state;manipulation
contact state estimation dexterous manipulation,Planning Dexterous Dual-Arm Manipulation,2018,Human Inspired Dexterity in Robotic Manipulation,Kensuke Harada,10.1016/b978-0-12-813385-9.00010-8,https://doi.org/10.1016/b978-0-12-813385-9.00010-8,book-chapter,Crossref,2,manipulation
contact state estimation dexterous manipulation,Sensorimotor Learning of Dexterous Manipulation,2018,Human Inspired Dexterity in Robotic Manipulation,Qiushi Fu; Marco Santello,10.1016/b978-0-12-813385-9.00003-0,https://doi.org/10.1016/b978-0-12-813385-9.00003-0,book-chapter,Crossref,2,manipulation
tactile slip detection robotic grasp,Learning Robotic Grasp using Visual-Tactile model,2018,2018 International Conference on Circuits and Systems in Digital Enterprise Technology (ICCSDET),Shamin Varkey; Chikku Achy,10.1109/iccsdet.2018.8821091,https://doi.org/10.1109/iccsdet.2018.8821091,proceedings-article,Crossref,2,tactile;manipulation
tactile slip detection robotic grasp,Slip Detection with Combined Tactile and Visual Information,2018,2018 IEEE International Conference on Robotics and Automation (ICRA),Jianhua Li; Siyuan Dong; Edward Adelson,10.1109/icra.2018.8460495,https://doi.org/10.1109/icra.2018.8460495,proceedings-article,Crossref,2,slip;tactile
tactile slip detection robotic grasp,Robotic Grasp Pose Detection Using Deep Learning,2018,"2018 15th International Conference on Control, Automation, Robotics and Vision (ICARCV)",Shehan Caldera; Alexander Rassau; Douglas Chai,10.1109/icarcv.2018.8581091,https://doi.org/10.1109/icarcv.2018.8581091,proceedings-article,Crossref,2,manipulation;dynamics
object pose contact state estimation manipulation,Assembly Manipulation Understanding Based on 3D Object Pose Estimation and Human Motion Estimation,2018,2018 IEEE International Conference on Robotics and Biomimetics (ROBIO),Kimitoshi Yamazaki; Taichi Higashide; Daisuke Tanaka; Kotara Nagahama,10.1109/robio.2018.8665235,https://doi.org/10.1109/robio.2018.8665235,proceedings-article,Crossref,2,manipulation;dynamics
object pose contact state estimation manipulation,Object Recognition and Pose Estimation using Laser scans For Advanced Underwater Manipulation,2018,2018 IEEE/OES Autonomous Underwater Vehicle Workshop (AUV),Khadidja Himri; Roger Pi; Pere Ridao; Nuno Gracias; Albert Palomer; Narcis Palomeras,10.1109/auv.2018.8729742,https://doi.org/10.1109/auv.2018.8729742,proceedings-article,Crossref,2,manipulation;dynamics
latent state manipulation tactile sensing,Tactile Sensing for Manipulation,2018,International Journal of Humanoid Robotics,Qiang Li; Lorenzo Natale; Robert Haschke; Andrea Cherubini; Anh-Van Ho; Helge Ritter,10.1142/s0219843618020012,https://doi.org/10.1142/s0219843618020012,journal-article,Crossref,2,tactile;manipulation
slip detection grasp control robot,A Bio-inspired Grasp Stiffness Control for Robotic Hands,2018,Frontiers in Robotics and AI,Virginia Ruiz Garate; Maria Pozzi; Domenico Prattichizzo; Arash Ajoudani,10.3389/frobt.2018.00089,https://doi.org/10.3389/frobt.2018.00089,journal-article,Crossref,2,manipulation
micro slip dexterous manipulation,"Dexterous Manipulation During Rhythmic Arm Movements in Mars, Moon, and Micro-Gravity",2018,Frontiers in Physiology,Laurent Opsomer; Vincent Théate; Philippe Lefèvre; Jean-Louis Thonnard,10.3389/fphys.2018.00938,https://doi.org/10.3389/fphys.2018.00938,journal-article,Crossref,2,manipulation
manipulation contact dynamics estimation,Comparison of control methods: Learning robotics manipulation with contact dynamics,2018,"2018 IEEE International Conference on Simulation, Modeling, and Programming for Autonomous Robots (SIMPAR)",Kedao Wang; Yong Li,10.1109/simpar.2018.8376263,https://doi.org/10.1109/simpar.2018.8376263,proceedings-article,Crossref,2,contact;manipulation
robot grasp tactile sensing,Grasp and Stress Analysis of an Underactuated Finger for Proprioceptive Tactile Sensing,2018,IEEE/ASME Transactions on Mechatronics,Mahyar Abdeetedal; Mehrdad Radji Kermani,10.1109/tmech.2018.2844327,https://doi.org/10.1109/tmech.2018.2844327,journal-article,Crossref,2,tactile;manipulation
robot grasp tactile sensing,Robot Tactile Sensing: Vision Based Tactile Sensor for Force Perception,2018,"2018 IEEE 8th Annual International Conference on CYBER Technology in Automation, Control, and Intelligent Systems (CYBER)",Tao Zhang; Yang Cong; Xiaomao Li; Yan Peng,10.1109/cyber.2018.8688163,https://doi.org/10.1109/cyber.2018.8688163,proceedings-article,Crossref,2,tactile;contact
force control contact estimation robot,Contact force rendering method based on robot dynamics,2018,2018 Chinese Control And Decision Conference (CCDC),Qing Wei; Nailong Liu; Zhaoming Liu; Long Cui,10.1109/ccdc.2018.8408112,https://doi.org/10.1109/ccdc.2018.8408112,proceedings-article,Crossref,2,contact
in-hand manipulation object pose estimation,Assembly Operation Understanding by Object Pose Estimation and Hand Motion Estimation,2018,The Proceedings of JSME annual Conference on Robotics and Mechatronics (Robomec),Taichi HIGASHIDE; Daisuke TANAKA; Kimitoshi YAMAZAKI,10.1299/jsmermd.2018.2a2-l16,https://doi.org/10.1299/jsmermd.2018.2a2-l16,journal-article,Crossref,2,manipulation;dynamics
robot compliance estimation contact,Compliance,2018,Contact Lens Practice,Nathan Efron,10.1016/b978-0-7020-6660-3.00042-3,https://doi.org/10.1016/b978-0-7020-6660-3.00042-3,book-chapter,Crossref,2,contact;dynamics
haptic sensing manipulation robot,Evaluation of tele-manipulation of 6 DOF robot using haptic device,2018,International Journal of Mechanisms and Robotic Systems,Kanika Rathore; Nathi Ram Chauhan; Nisha Bhatt,10.1504/ijmrs.2018.090278,https://doi.org/10.1504/ijmrs.2018.090278,journal-article,Crossref,2,tactile;manipulation
haptic sensing manipulation robot,Evaluation of tele-manipulation of 6 DOF robot using haptic device,2018,International Journal of Mechanisms and Robotic Systems,Nisha Bhatt; Nathi Ram Chauhan; Kanika Rathore,10.1504/ijmrs.2018.10011456,https://doi.org/10.1504/ijmrs.2018.10011456,journal-article,Crossref,2,tactile;manipulation
haptic sensing manipulation robot,Developing a Vibrotactile Glove for Three-dimensional Haptic Information Sensing,2018,Companion of the 2018 ACM/IEEE International Conference on Human-Robot Interaction,Yunjoo Kim; Jung Kim,10.1145/3173386.3176971,https://doi.org/10.1145/3173386.3176971,proceedings-article,Crossref,2,tactile
